languge,age,participant,pronoun,share
ger,32.5,CHI,1sg,0.040584415584415584
ger,32.53333333333333,ADU,1sg,0.030911901081916538
ger,32.53333333333333,CHI,1sg,0.04179566563467492
ger,32.56666666666667,ADU,1sg,0.053934571175950484
ger,32.56666666666667,CHI,1sg,0.07190635451505016
ger,32.6,ADU,1sg,0.05789473684210526
ger,32.6,CHI,1sg,0.088
ger,32.666666666666664,ADU,1sg,0.03264417845484222
ger,32.666666666666664,CHI,1sg,0.06845238095238096
ger,32.7,ADU,1sg,0.04591265397536394
ger,32.7,CHI,1sg,0.05113636363636364
ger,32.733333333333334,ADU,1sg,0.05362776025236593
ger,32.733333333333334,CHI,1sg,0.06435643564356436
ger,32.766666666666666,ADU,1sg,0.041791044776119404
ger,32.766666666666666,CHI,1sg,0.04411764705882353
ger,32.8,ADU,1sg,0.02867383512544803
ger,32.8,CHI,1sg,0.021739130434782608
ger,32.833333333333336,ADU,1sg,0.03619909502262444
ger,32.833333333333336,CHI,1sg,0.060810810810810814
ger,32.86666666666667,ADU,1sg,0.07142857142857142
ger,32.86666666666667,CHI,1sg,0.027777777777777776
ger,32.9,ADU,1sg,0.036585365853658534
ger,32.9,CHI,1sg,0.031879194630872486
ger,32.96666666666667,ADU,1sg,0.001893939393939394
ger,32.96666666666667,CHI,1sg,0.023809523809523808
ger,33.06666666666667,ADU,1sg,0.03219034289713086
ger,33.06666666666667,CHI,1sg,0.04203821656050955
ger,33.1,ADU,1sg,0.047597461468721666
ger,33.1,CHI,1sg,0.03829787234042553
ger,33.233333333333334,ADU,1sg,0.03911696359411309
ger,33.233333333333334,CHI,1sg,0.046142208774583963
ger,33.266666666666666,ADU,1sg,0.06385224274406333
ger,33.266666666666666,CHI,1sg,0.05257731958762887
ger,33.333333333333336,ADU,1sg,0.05225409836065574
ger,33.333333333333336,CHI,1sg,0.05119825708061002
ger,33.4,ADU,1sg,0.02
ger,33.4,CHI,1sg,0.03529411764705882
ger,33.46666666666667,ADU,1sg,0
ger,33.46666666666667,ADU,1sg,0.013461538461538462
ger,33.46666666666667,CHI,1sg,0.04021244309559939
ger,33.5,ADU,1sg,0.06703470031545741
ger,33.5,CHI,1sg,0.08307692307692308
ger,33.53333333333333,ADU,1sg,0.038223140495867766
ger,33.53333333333333,CHI,1sg,0.04748603351955307
ger,33.56666666666667,ADU,1sg,0.019011406844106463
ger,33.56666666666667,CHI,1sg,0.01652892561983471
ger,33.6,ADU,1sg,0.012345679012345678
ger,33.6,ADU,1sg,0.07112970711297072
ger,33.6,CHI,1sg,0.04822043628013777
ger,33.7,ADU,1sg,0.04199475065616798
ger,33.7,CHI,1sg,0.05536332179930796
ger,33.766666666666666,ADU,1sg,0.04272151898734177
ger,33.766666666666666,CHI,1sg,0.05084745762711865
ger,33.8,ADU,1sg,0.050980392156862744
ger,33.8,CHI,1sg,0.03636363636363636
ger,33.833333333333336,ADU,1sg,0.05708245243128964
ger,33.833333333333336,CHI,1sg,0.05521472392638037
ger,33.96666666666667,ADU,1sg,0.03737259343148358
ger,33.96666666666667,CHI,1sg,0.04322429906542056
ger,34.2,ADU,1sg,0.047619047619047616
ger,34.2,CHI,1sg,0.038834951456310676
ger,34.233333333333334,ADU,1sg,0.03480278422273782
ger,34.233333333333334,CHI,1sg,0.03560830860534125
ger,34.266666666666666,ADU,1sg,0.008902077151335312
ger,34.266666666666666,CHI,1sg,0.021021021021021023
ger,34.4,ADU,1sg,0.01155115511551155
ger,34.4,CHI,1sg,0.022292993630573247
ger,34.43333333333333,ADU,1sg,0.04854368932038835
ger,34.43333333333333,CHI,1sg,0.05673758865248227
ger,34.56666666666667,ADU,1sg,0.026954177897574125
ger,34.56666666666667,CHI,1sg,0.031135531135531136
ger,34.733333333333334,ADU,1sg,0.03985507246376811
ger,34.733333333333334,CHI,1sg,0.031818181818181815
ger,34.86666666666667,ADU,1sg,0.07988980716253444
ger,34.86666666666667,CHI,1sg,0.08849557522123894
ger,39.733333333333334,ADU,1sg,0.04595744680851064
ger,39.733333333333334,CHI,1sg,0.05179615705931495
ger,20.466666666666665,CHI,1sg,0
ger,20.833333333333332,CHI,1sg,0
ger,21.3,CHI,1sg,0
ger,21.7,CHI,1sg,0
ger,22.066666666666666,CHI,1sg,0
ger,22.6,CHI,1sg,0.004739336492890996
ger,22.8,CHI,1sg,0
ger,20.366666666666667,CHI,1sg,0
ger,20.933333333333334,CHI,1sg,0
ger,21.8,CHI,1sg,0
ger,22,CHI,1sg,0
ger,22.2,CHI,1sg,0
ger,22.433333333333334,CHI,1sg,0
ger,22.733333333333334,CHI,1sg,0
ger,23,CHI,1sg,0
ger,23.133333333333333,CHI,1sg,0
ger,23.466666666666665,CHI,1sg,0
ger,23.833333333333332,CHI,1sg,0
ger,24.066666666666666,CHI,1sg,0
ger,24.6,CHI,1sg,0
ger,20.166666666666668,CHI,1sg,0
