"","path","filename","languge","childname","participant","pronoun","24","25","26","27","28","29","30","31","32","33","34","35"
"38","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0269058295964126,NA
"39","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0269058295964126,NA
"40","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\021028.cha","021028.cha","eng","Barbara","CHI","3sgN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143497757847534,NA
"41","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","1pl",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","1sg",0.0341880341880342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","2",0.00854700854700855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","3",0.0598290598290598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","3pl",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","3sgF",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","3sgM",0.0170940170940171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","C:\My\studies\UIT\FLA\code\English\Belfast\David\020003.cha","020003.cha","eng","David","CHI","3sgN",0.0427350427350427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","1pl",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","C:\My\studies\UIT\FLA\code\English\Belfast\David\020010.cha","020010.cha","eng","David","CHI","1sg",0.0149892933618844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
